1	N	45
1	J	45
0	J	45
1	R	45
2	N	46
2	J	46
1	W	46
2	R	46
3	N	60
3	J	61
2	E	65
1	J	65
1	R	65
4	N	65
4	J	66
1	W	66
3	R	66
3	W	72
4	R	72
5	N	104
5	J	104
4	W	105
5	R	105
4	J	107
5	E	107
4	R	107
4	W	112
0	R	112
0	W	112
4	J	2584
4	R	2584
4	W	2585
0	R	2585
4	J	2692
4	R	2692
4	W	2692
0	R	2692
4	J	3026
4	R	3026
4	W	3026
0	R	3026
3	J	3070
3	R	3070
3	W	3070
0	R	3070
4	J	3135
4	R	3135
4	W	3135
0	R	3135
4	J	3183
4	R	3183
4	W	3183
0	R	3183
4	J	3341
4	R	3341
4	W	3341
0	R	3341
4	J	3627
4	R	3627
4	W	3627
0	R	3627
4	J	3752
4	R	3752
4	W	3752
0	R	3752
4	J	4390
4	R	4390
4	W	4390
0	R	4390
4	J	4528
4	R	4528
4	W	4528
0	R	4528
4	J	4654
4	R	4654
4	W	4655
0	R	4655
4	J	4829
4	R	4829
4	W	4829
0	R	4829
4	J	6963
4	R	6964
4	W	6964
0	R	6964
4	J	7091
4	R	7091
4	W	7091
0	R	7091
4	J	7119
4	R	7119
4	W	7119
0	R	7119
4	J	7249
4	R	7249
4	W	7249
0	R	7249
4	J	7580
4	R	7580
4	W	7580
0	R	7580
4	J	7704
4	R	7704
4	W	7704
0	R	7704
4	J	9183
4	R	9184
4	W	9184
0	R	9184
4	J	9795
4	R	9795
4	W	9795
0	R	9795
4	J	9834
4	R	9834
4	W	9834
0	R	9834
4	J	9871
4	R	9871
4	W	9871
0	R	9871
4	J	9910
4	R	9910
4	W	9910
0	R	9910
4	J	9947
4	R	9947
4	W	9947
0	R	9947
4	J	9983
4	R	9983
4	W	9983
0	R	9983
4	J	10021
4	R	10021
4	W	10021
0	R	10021
4	J	10057
4	R	10057
4	W	10057
0	R	10057
4	J	10096
4	R	10096
4	W	10096
0	R	10096
4	J	10129
4	R	10129
4	W	10129
0	R	10129
4	J	10165
4	R	10165
4	W	10165
0	R	10166
4	J	10201
4	R	10201
4	W	10201
0	R	10202
4	J	10239
4	R	10239
4	W	10239
0	R	10239
4	J	10277
4	R	10277
4	W	10277
0	R	10277
4	J	10313
4	R	10313
4	W	10313
0	R	10313
4	J	10351
4	R	10351
4	W	10352
0	R	10352
4	J	10388
4	R	10388
4	W	10388
0	R	10388
4	J	10426
4	R	10426
4	W	10426
0	R	10426
4	J	10463
4	R	10463
4	W	10463
0	R	10463
4	J	10501
4	R	10501
4	W	10502
0	R	10502
4	J	10538
4	R	10538
4	W	10538
0	R	10538
4	J	10571
4	R	10571
4	W	10571
0	R	10571
4	J	10605
4	R	10605
4	W	10605
0	R	10605
4	J	11177
4	R	11177
4	W	11177
0	R	11177
4	J	11277
4	R	11277
4	W	11277
0	R	11277
4	J	11277
4	R	11277
4	W	11277
0	R	11277
4	J	11434
4	R	11434
4	W	11434
0	R	11434
4	J	11514
4	R	11514
6	N	11515
6	J	11516
4	W	11516
6	R	11516
6	E	11522
4	J	11522
4	R	11522
7	N	11523
7	J	11523
4	W	11524
7	R	11524
4	J	11526
7	E	11526
4	R	11526
4	W	11527
0	R	11527
4	J	11635
4	R	11635
4	W	11635
0	R	11635
4	J	13310
4	R	13310
4	W	13310
0	R	13310
4	J	13418
4	R	13418
4	W	13418
0	R	13418
4	J	13497
4	R	13497
4	W	13497
0	R	13497
4	J	13594
4	R	13595
4	W	13595
0	R	13595
4	J	14776
4	R	14776
4	W	14776
0	R	14776
4	J	14875
4	R	14875
4	W	14875
0	R	14875
4	J	15141
4	R	15141
4	W	15147
0	R	15147
4	J	15238
4	R	15239
4	W	15239
0	R	15239
4	J	15854
4	R	15854
8	N	15855
8	J	15856
4	W	15856
8	R	15856
9	N	15858
9	J	15859
10	N	15859
10	J	15860
11	N	15860
11	J	15860
8	W	15861
11	R	15861
11	J	15871
10	R	15871
10	W	15871
9	R	15871
9	J	15881
11	R	15881
11	J	15891
9	R	15891
9	J	15901
11	R	15901
11	J	15911
9	R	15911
9	J	15921
11	R	15921
11	J	15931
9	R	15931
9	J	15941
11	R	15941
11	J	15951
9	R	15951
9	J	15961
11	R	15961
11	J	15971
9	R	15971
10	J	15981
9	J	15981
10	R	15981
10	W	15981
11	R	15981
11	J	15991
9	R	15991
9	J	16001
11	R	16001
11	J	16011
9	R	16011
9	J	16021
11	R	16021
11	J	16031
9	R	16031
9	J	16041
11	R	16041
11	J	16051
9	R	16051
9	J	16061
11	R	16061
11	W	16061
9	R	16061
10	J	16091
9	J	16091
10	R	16091
10	W	16091
9	R	16091
11	J	16171
9	J	16171
11	R	16171
10	J	16200
11	J	16200
10	R	16200
10	W	16200
9	R	16200
9	J	16210
11	R	16210
11	J	16220
9	R	16220
9	J	16230
11	R	16230
11	J	16240
9	R	16240
9	J	16250
11	R	16250
11	J	16260
9	R	16260
9	J	16270
11	R	16270
11	J	16280
9	R	16280
9	J	16290
11	R	16290
11	J	16300
9	R	16300
10	J	16310
9	J	16310
